n-grams,frequency,correct,incorrect
e,529117365,0,0
t,390965105,0,0
a,374061888,0,0
o,326627740,0,0
i,320410057,0,0
n,313720540,0,0
s,294300210,0,0
r,277000841,0,0
h,216768975,0,0
l,183996130,0,0
d,169330528,0,0
c,138416451,0,0
u,117295780,0,0
m,110504544,0,0
f,95422055,0,0
g,91258980,0,0
p,90376747,0,0
w,79843664,0,0
y,75294515,0,0
b,70195826,0,0
v,46337161,0,0
k,35373464,0,0
j,9613410,0,0
x,8369915,0,0
z,4975847,0,0
q,4550166,0,0
th,116997844,0,0
he,100689263,0,0
in,87674002,0,0
er,77134382,0,0
an,69775179,0,0
re,60923600,0,0
es,57070453,0,0
on,56915252,0,0
st,54018399,0,0
nt,50701084,0,0
en,48991276,0,0
at,48274564,0,0
ed,46647960,0,0
nd,46194306,0,0
to,46115188,0,0
or,45725191,0,0
ea,43329810,0,0
ti,42888666,0,0
ar,42353262,0,0
te,42295813,0,0
ng,38567365,0,0
al,38211584,0,0
it,37938534,0,0
as,37773878,0,0
is,37349981,0,0
ha,35971841,0,0
et,32872552,0,0
se,31532272,0,0
ou,31112284,0,0
of,30540904,0,0
le,30383262,0,0
sa,30080131,0,0
ve,29320973,0,0
ro,29230770,0,0
ra,28645577,0,0
ri,27634643,0,0
hi,27495342,0,0
ne,27331675,0,0
me,27237733,0,0
de,27029835,0,0
co,26737101,0,0
ta,26147593,0,0
ec,25775798,0,0
si,25758841,0,0
ll,24636875,0,0
so,23903631,0,0
na,23547524,0,0
li,23291169,0,0
la,23178317,0,0
el,23092248,0,0
ma,21828378,0,0
di,21673998,0,0
ic,21468412,0,0
rt,21456059,0,0
ns,21306421,0,0
rs,21237259,0,0
io,21210160,0,0
om,21066156,0,0
ch,20132750,0,0
ot,20088048,0,0
ca,19930754,0,0
ce,19803619,0,0
ho,19729026,0,0
be,19468489,0,0
tt,19367472,0,0
fo,18923772,0,0
ts,18922522,0,0
ss,18915696,0,0
no,18894111,0,0
ee,18497942,0,0
em,18145294,0,0
ac,17904683,0,0
il,17877600,0,0
da,17584055,0,0
ni,17452104,0,0
ur,17341717,0,0
wa,16838794,0,0
sh,16773127,0,0
ei,16026915,0,0
am,15975981,0,0
tr,15821226,0,0
dt,15759673,0,0
us,15699353,0,0
lo,15596310,0,0
pe,15573318,0,0
un,15237699,0,0
nc,15214623,0,0
wi,15213018,0,0
ut,15137169,0,0
ad,14877234,0,0
ew,14776406,0,0
ow,14610429,0,0
ge,14425023,0,0
ep,14024377,0,0
ai,13974919,0,0
ly,13742031,0,0
ol,13726491,0,0
ft,13696078,0,0
os,13596265,0,0
eo,13524186,0,0
ef,13252227,0,0
pr,13191182,0,0
we,13185116,0,0
do,13120322,0,0
mo,12950768,0,0
id,12896787,0,0
ie,12505546,0,0
mi,12168944,0,0
pa,12068709,0,0
fi,11993833,0,0
po,11917535,0,0
ct,11888752,0,0
wh,11852909,0,0
ir,11681353,0,0
ay,11523416,0,0
ga,11239788,0,0
sc,10800636,0,0
ke,10650670,0,0
ev,10574011,0,0
sp,10570626,0,0
im,10544422,0,0
op,10459455,0,0
ds,10429887,0,0
ld,10245579,0,0
ul,10173468,0,0
oo,10168856,0,0
su,10031005,0,0
ia,10002012,0,0
gh,9880399,0,0
pl,9812226,0,0
eb,9738798,0,0
ig,9530574,0,0
vi,9380037,0,0
iv,9129232,0,0
wo,9106647,0,0
yo,9088497,0,0
rd,9025637,0,0
tw,8910254,0,0
ba,8867461,0,0
ag,8809266,0,0
ry,8788539,0,0
ab,8775582,0,0
ls,8675452,0,0
sw,8673234,0,0
ap,8553911,0,0
fe,8529289,0,0
tu,8477495,0,0
ci,8446084,0,0
fa,8357929,0,0
ht,8351551,0,0
fr,8339376,0,0
av,8288885,0,0
eg,8286463,0,0
go,8188708,0,0
bo,8172395,0,0
bu,8113271,0,0
ty,8008918,0,0
mp,7835172,0,0
oc,7646952,0,0
od,7610214,0,0
eh,7559141,0,0
ys,7539621,0,0
ey,7528342,0,0
rm,7377989,0,0
ov,7350014,0,0
gt,7347990,0,0
ya,7239548,0,0
ck,7205091,0,0
gi,7103140,0,0
rn,7064635,0,0
gr,6989963,0,0
rc,6974063,0,0
bl,6941044,0,0
lt,6817273,0,0
yt,6714151,0,0
oa,6554221,0,0
ye,6499305,0,0
ob,6212512,0,0
db,6106719,0,0
ff,6085519,0,0
sf,6073995,0,0
rr,5896212,0,0
du,5861311,0,0
ki,5814357,0,0
uc,5742385,0,0
if,5740414,0,0
af,5702567,0,0
dr,5701879,0,0
cl,5683204,0,0
ex,5649363,0,0
sm,5580755,0,0
pi,5559210,0,0
sb,5553684,0,0
cr,5514347,0,0
tl,5403137,0,0
oi,5336616,0,0
ru,5330557,0,0
up,5306948,0,0
by,5232074,0,0
tc,5196817,0,0
nn,5180899,0,0
ak,5137311,0,0
sl,4965012,0,0
nf,4950333,0,0
ue,4927837,0,0
dw,4906814,0,0
au,4884168,0,0
pp,4873393,0,0
ug,4832325,0,0
rl,4803246,0,0
rg,4645938,0,0
br,4621080,0,0
cu,4604045,0,0
ua,4589997,0,0
dh,4585765,0,0
rk,4491400,0,0
yi,4461214,0,0
lu,4402940,0,0
um,4389720,0,0
bi,4356462,0,0
ny,4343290,0,0
nw,4215967,0,0
qu,4169424,0,0
og,4163126,0,0
sn,4157990,0,0
mb,4121764,0,0
va,4111375,0,0
df,4033878,0,0
dd,4001275,0,0
ms,3922855,0,0
gs,3920675,0,0
aw,3918960,0,0
nh,3915410,0,0
pu,3858148,0,0
hr,3843001,0,0
sd,3842250,0,0
tb,3815459,0,0
pt,3812475,0,0
nm,3796928,0,0
dc,3782481,0,0
gu,3768430,0,0
tm,3759861,0,0
mu,3755834,0,0
nu,3732602,0,0
mm,3730508,0,0
nl,3692985,0,0
eu,3674130,0,0
wn,3649615,0,0
nb,3602692,0,0
rp,3588188,0,0
dm,3544905,0,0
sr,3513808,0,0
ud,3499535,0,0
ui,3481482,0,0
rf,3436232,0,0
ok,3397570,0,0
yw,3379064,0,0
tf,3368452,0,0
ip,3348621,0,0
rw,3348005,0,0
rb,3346212,0,0
oh,3254659,0,0
ks,3227333,0,0
dp,3145043,0,0
fu,3138900,0,0
yc,3128053,0,0
tp,3070427,0,0
mt,3055946,0,0
dl,3050945,0,0
nk,3043200,0,0
cc,3026492,0,0
ub,2990868,0,0
rh,2968706,0,0
np,2968126,0,0
ju,2924815,0,0
fl,2890839,0,0
dn,2840522,0,0
ka,2833038,0,0
ph,2825344,0,0
hu,2771830,0,0
jo,2721345,0,0
lf,2702522,0,0
yb,2696786,0,0
rv,2692445,0,0
oe,2616308,0,0
ib,2598444,0,0
ik,2585124,0,0
yp,2581863,0,0
gl,2576787,0,0
lp,2543957,0,0
ym,2516273,0,0
lb,2463693,0,0
hs,2462026,0,0
dg,2442139,0,0
gn,2426429,0,0
ek,2411639,0,0
nr,2393580,0,0
ps,2377036,0,0
td,2346516,0,0
lc,2328063,0,0
sk,2321888,0,0
yf,2305244,0,0
yh,2291273,0,0
vo,2253292,0,0
ah,2225270,0,0
dy,2218040,0,0
lm,2216514,0,0
sy,2214270,0,0
nv,2194534,0,0
yd,2122337,0,0
fs,2047416,0,0
sg,2043770,0,0
yr,2021939,0,0
yl,2013939,0,0
ws,1988727,0,0
my,1949129,0,0
oy,1932892,0,0
kn,1903836,0,0
iz,1865802,0,0
xp,1840696,0,0
lw,1836811,0,0
tn,1782119,0,0
ko,1758001,0,0
aa,1721143,0,0
ja,1712763,0,0
ze,1709871,0,0
fc,1570791,0,0
gw,1567991,0,0
tg,1530045,0,0
xt,1509969,0,0
fh,1507604,0,0
lr,1505092,0,0
je,1487348,0,0
yn,1485655,0,0
gg,1468286,0,0
gf,1465290,0,0
eq,1461436,0,0
hy,1446451,0,0
kt,1443985,0,0
hc,1441057,0,0
bs,1409672,0,0
hw,1403223,0,0
hn,1383958,0,0
cs,1381608,0,0
hm,1353001,0,0
nj,1342735,0,0
hh,1329998,0,0
wt,1301293,0,0
gc,1299541,0,0
lh,1274048,0,0
ej,1256993,0,0
fm,1251312,0,0
dv,1238565,0,0
lv,1238287,0,0
wr,1226755,0,0
gp,1215204,0,0
fp,1199845,0,0
gb,1184377,0,0
gm,1178511,0,0
hl,1169468,0,0
lk,1164186,0,0
cy,1145316,0,0
mc,1101727,0,0
yg,1049082,0,0
xi,1024736,0,0
hb,1014004,0,0
fw,1005903,0,0
gy,979804,0,0
hp,978649,0,0
mw,937621,0,0
pm,931225,0,0
za,929119,0,0
lg,926472,0,0
iw,922059,0,0
xa,904148,0,0
fb,888155,0,0
sv,882083,0,0
gd,879792,0,0
ix,879360,0,0
aj,870262,0,0
kl,846309,0,0
hf,834284,0,0
hd,828755,0,0
ae,815963,0,0
sq,800346,0,0
dj,799366,0,0
fy,789961,0,0
az,768359,0,0
ln,752316,0,0
ao,749566,0,0
fd,748027,0,0
kw,719633,0,0
mf,715087,0,0
mh,710864,0,0
sj,704442,0,0
uf,701892,0,0
tv,698150,0,0
xc,697995,0,0
yu,695512,0,0
bb,689158,0,0
ww,674610,0,0
oj,661082,0,0
ax,660826,0,0
mr,660619,0,0
wl,657782,0,0
xe,653947,0,0
kh,650095,0,0
ox,650078,0,0
uo,649906,0,0
zi,644035,0,0
fg,637758,0,0
ih,610683,0,0
tk,610333,0,0
ii,607124,0,0
iu,576683,0,0
tj,559473,0,0
mn,558397,0,0
wy,553647,0,0
ky,553296,0,0
kf,537342,0,0
fn,534362,0,0
uy,531960,0,0
pw,530411,0,0
dk,525744,0,0
rj,518157,0,0
uk,514873,0,0
kr,507020,0,0
ku,506618,0,0
wm,505687,0,0
km,485617,0,0
md,481126,0,0
ml,478528,0,0
ez,465466,0,0
kb,457860,0,0
wc,448394,0,0
wd,432646,0,0
hg,429607,0,0
bt,428276,0,0
zo,424016,0,0
kc,420017,0,0
pf,418168,0,0
yv,411487,0,0
pc,400308,0,0
py,396147,0,0
wb,394820,0,0
yk,391953,0,0
cp,382923,0,0
yj,378679,0,0
kp,375653,0,0
pb,369336,0,0
cd,358435,0,0
ji,357577,0,0
uw,352732,0,0
uh,339341,0,0
wf,336213,0,0
yy,332973,0,0
wp,321746,0,0
bc,320380,0,0
aq,315068,0,0
cb,298053,0,0
iq,291635,0,0
cm,285942,0,0
mg,285133,0,0
dq,283314,0,0
bj,282608,0,0
tz,280007,0,0
kd,277982,0,0
pd,273162,0,0
fj,269865,0,0
cf,267630,0,0
nz,266461,0,0
cw,257253,0,0
fv,244685,0,0
vy,233082,0,0
fk,228905,0,0
oz,228556,0,0
zz,221275,0,0
ij,219128,0,0
lj,218362,0,0
nq,217422,0,0
uv,212051,0,0
xo,211173,0,0
pg,211133,0,0
hk,210385,0,0
kg,209266,0,0
vs,204093,0,0
hv,197539,0,0
bm,191807,0,0
hj,189906,0,0
cn,188046,0,0
gv,186777,0,0
cg,181590,0,0
wu,180884,0,0
gj,176947,0,0
xh,166599,0,0
gk,163830,0,0
tq,159111,0,0
cq,157546,0,0
rq,156933,0,0
bh,154489,0,0
xs,154347,0,0
uz,153736,0,0
wk,148964,0,0
xu,147533,0,0
ux,144814,0,0
bd,141752,0,0
bw,140189,0,0
wg,139890,0,0
mv,136314,0,0
mj,134263,0,0
pn,131645,0,0
xm,127492,0,0
oq,122677,0,0
bv,120081,0,0
xw,119322,0,0
kk,118811,0,0
bp,115161,0,0
zu,113538,0,0
rz,113432,0,0
xf,113031,0,0
mk,111041,0,0
zh,107639,0,0
bn,106125,0,0
zy,105871,0,0
hq,101241,0,0
wj,99435,0,0
iy,98361,0,0
dz,98038,0,0
vr,96416,0,0
zs,94993,0,0
xy,94329,0,0
cv,94224,0,0
xb,94041,0,0
xr,90046,0,0
uj,88168,0,0
yq,87953,0,0
vd,85611,0,0
pk,83017,0,0
vu,82830,0,0
jr,80471,0,0
zl,80039,0,0
sz,79840,0,0
yz,78281,0,0
lq,77148,0,0
kj,76816,0,0
bf,75352,0,0
nx,74844,0,0
qa,73527,0,0
qi,73387,0,0
kv,73184,0,0
zw,68865,0,0
wv,63930,0,0
uu,63043,0,0
vt,62912,0,0
vp,62577,0,0
xd,60101,0,0
gq,59750,0,0
xl,59585,0,0
vc,59024,0,0
cz,57914,0,0
lz,57314,0,0
zt,56955,0,0
wz,52836,0,0
sx,50975,0,0
zb,50652,0,0
vl,49032,0,0
pv,48105,0,0
fq,47504,0,0
pj,47043,0,0
zm,46034,0,0
vw,45608,0,0
cj,41526,0,0
zc,41037,0,0
bg,40516,0,0
js,39326,0,0
xg,39289,0,0
rx,38654,0,0
hz,37066,0,0
xx,35052,0,0
vm,35024,0,0
xn,34734,0,0
qw,34669,0,0
jp,34520,0,0
vn,33082,0,0
zd,32906,0,0
zr,32685,0,0
fz,31186,0,0
xv,31117,0,0
zp,30389,0,0
vh,30203,0,0
vb,29192,0,0
zf,28658,0,0
gz,28514,0,0
tx,28156,0,0
vf,28090,0,0
dx,27413,0,0
qb,27307,0,0
bk,26993,0,0
zg,26369,0,0
vg,25585,0,0
jc,24770,0,0
zk,24262,0,0
zn,24241,0,0
uq,23386,0,0
jm,22338,0,0
vv,22329,0,0
jd,21903,0,0
mq,21358,0,0
jh,20960,0,0
qs,20847,0,0
jt,20408,0,0
jb,19380,0,0
fx,19313,0,0
pq,18607,0,0
mz,18271,0,0
yx,16945,0,0
qt,16914,0,0
wq,16245,0,0
jj,16085,0,0
jw,16083,0,0
lx,15467,0,0
gx,14778,0,0
jn,14452,0,0
zv,14339,0,0
mx,14250,0,0
jk,13967,0,0
kq,13905,0,0
xk,13651,0,0
jf,12640,0,0
qm,12315,0,0
qh,12273,0,0
jl,12149,0,0
jg,12023,0,0
vk,11469,0,0
vj,11432,0,0
kz,11192,0,0
qc,10667,0,0
xj,10629,0,0
pz,9697,0,0
ql,9603,0,0
qo,9394,0,0
jv,8925,0,0
qf,8778,0,0
qd,8678,0,0
bz,8132,0,0
hx,7526,0,0
zj,7167,0,0
px,6814,0,0
qp,6062,0,0
qe,6020,0,0
qr,5975,0,0
zq,5773,0,0
jy,5723,0,0
bq,5513,0,0
xq,5416,0,0
cx,5300,0,0
kx,5083,0,0
wx,4678,0,0
qy,4557,0,0
qv,4212,0,0
qn,3808,0,0
vx,3192,0,0
bx,3021,0,0
jz,2859,0,0
vz,2633,0,0
qg,2567,0,0
qq,2499,0,0
zx,2463,0,0
xz,2082,0,0
qk,2023,0,0
vq,1488,0,0
qj,1342,0,0
qx,765,0,0
jx,747,0,0
jq,722,0,0
qz,280,0,0
